,base,ftune,ftunernd
499,5.0,8.874225,4.891037
500,5.0,3.92832,3.9268653
501,5.0,5.9759955,4.7724824
502,5.0,7.8052607,4.891037
503,5.0,7.447336,4.891037
504,5.0,6.600598,4.794817
505,5.0,3.4238613,4.6451197
506,5.0,7.1176696,4.7899966
507,5.0,7.710172,4.8853693
508,5.0,1.7534454,3.9625642
509,5.0,6.9805093,4.891037
510,5.0,8.377285,4.891037
511,5.0,6.2099223,4.891037
512,5.0,8.874225,4.891037
513,5.0,5.559747,4.7971315
514,5.0,6.2295423,5.009867
515,5.0,8.874225,4.891037
516,5.0,1.8098899,3.8103814
517,5.0,7.135604,4.160682
518,5.0,6.3863926,4.862261
519,5.0,7.456512,4.9497123
520,5.0,8.377294,4.891037
521,5.0,8.349851,4.8646655
522,5.0,7.6099324,4.891037
523,5.0,8.874225,4.891037
524,5.0,7.805828,4.897251
525,5.0,7.4117937,4.891037
526,5.0,6.550887,4.9792857
527,5.0,8.377285,4.891037
528,5.0,6.9805093,4.891037
529,5.0,4.9544888,5.1254992
530,5.0,6.637411,4.845593
531,5.0,4.4976234,4.635363
532,5.0,3.4079714,4.279036
533,5.0,3.3793006,4.7227473
534,5.0,3.7422693,4.5414314
535,5.0,8.338028,4.891037
536,5.0,8.049671,4.891037
537,5.0,7.8051534,4.8626165
538,5.0,8.820586,4.926292
539,5.0,8.816606,4.858052
540,5.0,5.7080665,4.5680113
541,5.0,8.874225,4.891037
542,5.0,8.819965,4.861793
543,5.0,7.8052607,4.891037
544,5.0,3.3596787,4.5557356
545,5.0,8.874225,4.891037
546,5.0,8.019901,4.891037
547,5.0,6.8107624,4.891037
548,5.0,3.8429067,4.4571323
549,5.0,6.251876,4.8476024
550,5.0,8.874225,4.891037
551,5.0,8.377285,4.891037
552,5.0,6.5661035,4.8385963
553,5.0,8.049671,4.891037
554,5.0,7.306586,4.9207788
555,5.0,7.609944,4.891037
556,5.0,8.377285,4.891037
557,5.0,4.537848,4.443379
558,5.0,4.6813407,4.8743753
559,5.0,7.077943,4.891037
560,5.0,2.9818418,4.047086
561,5.0,8.377285,4.891037
562,5.0,8.049671,4.891037
563,5.0,2.4563339,4.414818
564,5.0,7.802967,4.891037
565,5.0,5.8068314,5.2406754
566,5.0,4.389517,4.858503
567,5.0,5.914244,4.797069
568,5.0,7.58107,4.891037
569,5.0,5.97069,4.749622
570,5.0,8.377285,4.891037
571,5.0,3.637821,4.7095604
572,5.0,4.946535,4.891037
573,5.0,6.1162186,4.891037
574,5.0,4.16872,4.937294
575,5.0,8.377285,4.891037
576,5.0,8.874225,4.891037
577,5.0,8.874225,4.891037
578,5.0,4.771545,4.652085
579,5.0,8.874225,4.891037
580,5.0,3.9502664,4.795926
581,5.0,4.2342997,4.5894756
582,5.0,5.9102893,4.89545
583,5.0,7.077943,4.891037
584,5.0,7.308042,4.891037
585,5.0,3.5680904,4.726067
586,5.0,6.6662335,4.891037
587,5.0,8.874225,4.891037
